date,mm_long,mm_short,mm_net,open_interest
2007-09-18,125440,8362,117078,392748
2007-09-25,153984,9943,144041,440945
2007-10-02,165536,13596,151940,439865
2007-10-09,177069,8722,168347,458936
2007-10-16,191927,9649,182278,483872
2007-10-23,185137,12077,173060,489471
2007-10-30,194052,8156,185896,516163
2007-11-06,198786,12371,186415,556856
2007-11-13,185676,10739,174937,552546
2007-11-20,172412,11566,160846,512430
2007-11-27,163138,11283,151855,520782
2007-12-04,149675,5754,143921,486709
2007-12-11,155465,6109,149356,486198
2007-12-18,155660,9422,146238,495001
2007-12-24,164604,8469,156135,517020
2007-12-31,181902,10649,171253,541854
2008-01-08,191788,11019,180769,558309
2008-01-15,197021,11137,185884,593953
2008-01-22,193039,9618,183421,560173
2008-01-29,191376,9652,181724,522142
2008-02-05,191024,9337,181687,495139
2008-02-12,190428,12352,178076,475749
2008-02-19,200191,12457,187734,489789
2008-02-26,197000,10695,186305,495102
2008-03-04,188294,12567,175727,486992
2008-03-11,186110,10395,175715,482035
2008-03-18,179620,11055,168565,489055
2008-03-25,169444,14286,155158,452193
2008-04-01,146935,11584,135351,399393
2008-04-08,151135,15005,136130,407212
2008-04-15,156260,13481,142779,422699
2008-04-22,157492,14400,143092,424218
2008-04-29,151602,19235,132367,429670
2008-05-06,149175,24848,124327,433741
2008-05-13,150407,31816,118591,439636
2008-05-20,165800,18529,147271,453084
2008-05-27,166394,20722,145672,430961
2008-06-03,155935,22278,133657,398441
2008-06-10,144056,29172,114884,396392
2008-06-17,137007,19823,117184,390471
2008-06-24,143673,23409,120264,401226
2008-07-01,173983,17352,156631,434024
2008-07-08,174230,17127,157103,443202
2008-07-15,184704,15798,168906,483920
2008-07-22,177227,14225,163002,475606
2008-07-29,158000,14757,143243,446013
2008-08-05,142508,13682,128826,408430
2008-08-12,105895,16226,89669,365611
2008-08-19,94403,20486,73917,372968
2008-08-26,96269,29048,67221,380766
2008-09-02,89713,36022,53691,382329
2008-09-09,85376,41009,44367,392592
2008-09-16,89779,43587,46192,393814
2008-09-23,96573,23508,73065,368254
2008-09-30,88674,13550,75124,336598
2008-10-07,87411,17386,70025,329480
2008-10-14,84083,14296,69787,323496
2008-10-21,74401,18759,55642,319472
2008-10-28,69214,23048,46166,313709
2008-11-04,71373,25156,46217,303908
2008-11-11,65794,28922,36872,293831
2008-11-18,62986,23776,39210,289700
2008-11-25,73051,15312,57739,276567
2008-12-02,69409,8657,60752,264796
2008-12-09,69760,11925,57835,261001
2008-12-16,85191,11859,73332,282915
2008-12-22,94571,6768,87803,291022
2008-12-30,99432,7545,91887,300448
2009-01-06,104828,6338,98490,320391
2009-01-13,96909,6889,90020,318185
2009-01-20,101220,8898,92322,331507
2009-01-27,118261,12696,105565,354191
2009-02-03,130230,12946,117284,346288
2009-02-10,135286,12626,122660,350858
2009-02-17,137668,14501,123167,361619
2009-02-24,142009,11416,130593,372697
2009-03-03,142338,7446,134892,365271
2009-03-10,136814,8042,128772,371321
2009-03-17,134182,6202,127980,376237
2009-03-24,134155,8485,125670,387177
2009-03-31,138279,7794,130485,368618
2009-04-07,126084,14927,111157,344929
2009-04-14,125729,13705,112024,336930
2009-04-21,123645,12331,111314,339226
2009-04-28,123760,15478,108282,343037
2009-05-05,126846,12219,114627,341461
2009-05-12,136934,12773,124161,359517
2009-05-19,140605,13146,127459,367931
2009-05-26,155440,12542,142898,396965
2009-06-02,162201,9047,153154,391057
2009-06-09,166473,5836,160637,387181
2009-06-16,153484,6654,146830,371997
2009-06-23,149419,10207,139212,370347
2009-06-30,147628,10141,137487,379199
2009-07-07,144471,5708,138763,372985
2009-07-14,140260,8088,132172,370509
2009-07-21,158071,7736,150335,390939
2009-07-28,154908,7570,147338,386340
2009-08-04,174707,7021,167686,392834
2009-08-11,167169,7234,159935,385002
2009-08-18,153525,12039,141486,373810
2009-08-25,156834,7238,149596,379629
2009-09-01,157220,7182,150038,384703
2009-09-08,194723,7174,187549,451713
2009-09-15,207387,5527,201860,467892
2009-09-22,208236,5170,203066,467145
2009-09-29,198175,3726,194449,454585
2009-10-06,215753,6378,209375,484307
2009-10-13,232086,5232,226854,504187
2009-10-20,233990,6715,227275,509678
2009-10-27,217920,7549,210371,497479
2009-11-03,227499,9278,218221,493991
2009-11-09,223460,8495,214965,530505
2009-11-17,222637,8401,214236,533119
2009-11-24,225366,3589,221777,521253
2009-12-01,224030,6874,217156,521433
2009-12-08,213164,5353,207811,505652
2009-12-15,212517,4429,208088,504368
2009-12-22,206996,4813,202183,499233
2009-12-29,201751,5926,195825,491712
2010-01-05,198506,6907,191599,507643
2010-01-12,202180,11137,191043,523266
2010-01-19,200320,7695,192625,528924
2010-01-26,182133,7766,174367,507565
2010-02-02,187024,8423,178601,480860
2010-02-09,166132,13404,152728,466905
2010-02-16,167613,10459,157154,466509
2010-02-23,171565,6909,164656,466572
2010-03-02,182360,5689,176671,482786
2010-03-09,179078,4670,174408,493909
2010-03-16,176715,6438,170277,496481
2010-03-23,162654,8962,153692,495143
2010-03-30,155355,8135,147220,466678
2010-04-06,181635,6500,175135,497388
2010-04-13,200201,3506,196695,528856
2010-04-20,199008,6768,192240,521338
2010-04-27,210203,4760,205443,538591
2010-05-04,217433,9645,207788,551616
2010-05-11,224664,7134,217530,583504
2010-05-18,226337,6542,219795,579758
2010-05-25,212919,7703,205216,591360
2010-06-01,210717,4459,206258,553950
2010-06-08,215177,5161,210016,564792
2010-06-15,215511,4021,211490,569204
2010-06-22,223219,4354,218865,602411
2010-06-29,219365,4903,214462,601138
2010-07-06,193032,11299,181733,577732
2010-07-13,188892,8138,180754,568078
2010-07-20,169169,20798,148371,559473
2010-07-27,167161,14269,152892,560066
2010-08-03,167800,11435,156365,518643
2010-08-10,167837,9244,158593,523078
2010-08-17,182555,5336,177219,543674
2010-08-24,201864,5780,196084,556464
2010-08-31,215631,6431,209200,577352
2010-09-07,217437,6410,211027,585564
2010-09-14,225821,7571,218250,594058
2010-09-21,219781,5982,213799,597592
2010-09-28,231457,7049,224408,619408
2010-10-05,227061,8345,218716,617204
2010-10-12,233925,9966,223959,616382
2010-10-19,220360,11613,208747,630626
2010-10-26,209780,11743,198037,607582
2010-11-02,211627,16033,195594,618381
2010-11-09,208053,19379,188674,650764
2010-11-16,183835,17233,166602,637435
2010-11-23,185172,15166,170006,622712
2010-11-30,187247,11873,175374,600158
2010-12-07,190212,10455,179757,603632
2010-12-14,180601,11976,168625,594652
2010-12-21,172385,14735,157650,582133
2010-12-28,180866,12952,167914,594490
2011-01-04,172298,16163,156135,592613
2011-01-11,160750,21194,139556,588179
2011-01-18,159114,25874,133240,587832
2011-01-25,160562,22345,138217,506047
2011-02-01,145530,21797,123733,462907
2011-02-08,159732,18223,141509,469779
2011-02-15,166406,12172,154234,473345
2011-02-22,185082,16633,168449,502119
2011-03-01,199371,10555,188816,515784
2011-03-08,197377,8757,188620,515214
2011-03-15,187986,11748,176238,507760
2011-03-22,183912,5037,178875,509131
2011-03-29,196020,4603,191417,492087
2011-04-05,213018,6324,206694,508956
2011-04-12,208714,6810,201904,514871
2011-04-19,216243,4506,211737,537946
2011-04-26,207496,5079,202417,530132
2011-05-03,203624,10746,192878,522323
2011-05-10,191435,10461,180974,510151
2011-05-17,181722,7934,173788,509164
2011-05-24,191481,14589,176892,531180
2011-05-31,197416,10101,187315,501400
2011-06-07,203518,7648,195870,502251
2011-06-14,197429,9643,187786,497780
2011-06-21,213479,7220,206259,515016
2011-06-28,178804,9233,169571,495761
2011-07-05,173769,8346,165423,489782
2011-07-12,208383,9278,199105,520202
2011-07-19,220116,9827,210289,542342
2011-07-26,221551,8050,213501,536454
2011-08-02,237847,9023,228824,529403
2011-08-09,201303,9893,191410,510223
2011-08-16,213261,13386,199875,514107
2011-08-23,202430,10108,192322,528520
2011-08-30,189799,6727,183072,509326
2011-09-06,195197,7002,188195,523294
2011-09-13,182461,6192,176269,512068
2011-09-20,159718,8293,151425,499356
2011-09-27,136103,13628,122475,465414
2011-10-04,133320,12631,120689,436920
2011-10-11,134111,12090,122021,438090
2011-10-18,132678,14779,117899,437739
2011-10-25,141961,15391,126570,443723
2011-11-01,144879,11868,133011,442435
2011-11-08,155632,9577,146055,464982
2011-11-15,159850,8940,150910,470490
2011-11-22,146180,8498,137682,457070
2011-11-29,141009,7215,133794,423176
2011-12-06,146486,8794,137692,422956
2011-12-13,137811,10674,127137,427699
2011-12-20,124617,13147,111470,423465
2011-12-27,120594,14551,106043,418945
2012-01-03,121961,17399,104562,423275
2012-01-10,118994,15014,103980,417923
2012-01-17,120582,11927,108655,432838
2012-01-24,127512,10356,117156,427032
2012-01-31,149921,5973,143948,425133
2012-02-07,161575,5966,155609,436061
2012-02-14,156994,8005,148989,431164
2012-02-21,169144,8850,160294,456676
2012-02-28,184843,7700,177143,479044
2012-03-06,153286,11445,141841,443249
2012-03-13,146286,12668,133618,442319
2012-03-20,129938,16840,113098,431039
2012-03-27,136546,12463,124083,417304
2012-04-03,126887,13847,113040,407761
2012-04-10,119710,15480,104230,403989
2012-04-17,117770,10194,107576,398526
2012-04-24,115706,12356,103350,395389
2012-05-01,119865,9809,110056,411972
2012-05-08,113307,22935,90372,417798
2012-05-15,112920,32822,80098,422091
2012-05-22,113453,38808,74645,435706
2012-05-29,113383,40857,72526,419991
2012-06-05,124211,35621,88590,423941
2012-06-12,120365,32492,87873,412244
2012-06-19,121411,28260,93151,418492
2012-06-26,110884,33389,77495,413618
2012-07-03,125464,29245,96219,425068
2012-07-10,115071,34784,80287,429854
2012-07-17,109800,28444,81356,431317
2012-07-24,92963,33154,59809,420296
2012-07-31,105196,24339,80857,403403
2012-08-07,96887,27177,69710,388254
2012-08-14,95478,28822,66656,388187
2012-08-21,111063,19478,91585,398747
2012-08-28,127743,14577,113166,426559
2012-09-04,136347,13420,122927,444489
2012-09-11,147696,10083,137613,460531
2012-09-18,155972,11670,144302,478609
2012-09-25,167404,9176,158228,489516
2012-10-02,171822,8832,162990,480908
2012-10-09,177644,10171,167473,484359
2012-10-16,169829,11245,158584,462826
2012-10-23,159412,12776,146636,455836
2012-10-30,149389,13961,135428,454742
2012-11-06,128668,13499,115169,447154
2012-11-13,137972,13042,124930,459761
2012-11-20,147339,11400,135939,474129
2012-11-27,159947,7640,152307,479373
2012-12-04,134304,15559,118745,434416
2012-12-11,134234,14579,119655,433586
2012-12-18,130786,22755,108031,435742
2012-12-24,128403,29509,98894,426300
2012-12-31,124967,27848,97119,427991
2013-01-08,117603,30254,87349,441304
2013-01-15,118437,27333,91104,447773
2013-01-22,121758,23861,97897,461369
2013-01-29,111076,34575,76501,430718
2013-02-05,113058,34510,78548,423982
2013-02-12,113939,47357,66582,435088
2013-02-19,109507,66697,42810,447290
2013-02-26,112888,62035,50853,433858
2013-03-05,108352,67182,41170,434586
2013-03-12,112966,68642,44324,445651
2013-03-19,121388,56609,64779,440712
2013-03-26,110766,54831,55935,419727
2013-04-02,110504,66308,44196,417176
2013-04-09,113423,63436,49987,416513
2013-04-16,122687,54025,68662,413083
2013-04-23,119662,66743,52919,415074
2013-04-30,116815,65224,51591,421087
2013-05-07,115705,67172,48533,437931
2013-05-14,112533,73149,39384,443806
2013-05-21,113088,76730,36358,446087
2013-05-28,114281,67244,47037,411001
2013-06-04,112259,58671,53588,373061
2013-06-11,116492,61174,55318,373844
2013-06-18,110415,71162,39253,377106
2013-06-25,107441,77152,30289,390647
2013-07-02,103011,81627,21384,410399
2013-07-09,105942,82060,23882,431574
2013-07-16,106737,64896,41841,440283
2013-07-23,111993,56639,55354,434750
2013-07-30,108850,56821,52029,397035
2013-08-06,105340,70596,34744,396062
2013-08-13,100561,62573,37988,390547
2013-08-20,104483,56067,48416,385410
2013-08-27,105531,35142,70389,384102
2013-09-03,107642,32242,75400,388584
2013-09-10,100358,35578,64780,384164
2013-09-17,96370,41590,54780,384592
2013-09-24,99035,35023,64012,378216
2013-10-01,97777,36394,61383,374151
2013-10-08,97919,26363,71556,370406
2013-10-15,97326,44536,52790,381727
2013-10-22,105074,38476,66598,390369
2013-10-29,109627,21224,88403,387166
2013-11-05,105007,26923,78084,386796
2013-11-12,100760,54653,46107,403840
2013-11-19,97331,62800,34531,397590
2013-11-26,93619,77658,15961,394432
